Artificial objects count,,,Total mass (lb),Total mass (kg),,
"Apollo 15
S-IVB (S-IVB-510)",United States,1971,"30,944","14,036",Intentionally crashed,1.51°S 11.81°W
"Apollo 15
LM-10 Falcon descent stage",United States,1971,"6,193","2,809",Landed,26.1322°N 3.6339°E
"Apollo 15
Lunar Roving Vehicle (LRV-1)",United States,1971,460,210,Landed,26.08°N 3.66°E
"Apollo 15
LM-10 Falcon ascent stage",United States,1971,"4,700","2,132","Crashed
(post-mission)",26.36°N 0.25°E
Apollo 15 subsatellite,United States,1971,79,36,"Crashed
(post-mission)",Unknown
Luna 20 descent stage,Soviet Union,1972,"12,626","5,727",Landed,3.57°N 56.5°E
"Apollo 16
S-IVB (S-IVB-511)",United States,1972,"30,869","14,002",Intentionally crashed,1.921°N 24.623°W
"Apollo 16
LM-11 Orion descent stage",United States,1972,"6,096","2,765",Landed,8.9730°S 15.5002°E
"Apollo 16
Lunar Roving Vehicle (LRV-2)",United States,1972,460,210,Landed,8.97°S 15.51°E
"Apollo 16
LM-11 Orion ascent stage",United States,1972,"4,713","2,138","Crashed
(post-mission)",Unknown
Apollo 16 subsatellite,United States,1972,79,36,"Crashed
(post-mission)",Unknown
"Apollo 17
S-IVB (S-IVB-512)",United States,1972,"30,780","13,960",Intentionally crashed,4.21°S 12.31°W
"Apollo 17
LM-12 Challenger descent stage",United States,1972,"6,169","2,798",Landed,20.1908°N 30.7717°E
"Apollo 17
Lunar Roving Vehicle (LRV-3)",United States,1972,460,210,Landed,20.17°N 30.77°E
"Apollo 17
LM-12 Challenger ascent stage",United States,1972,"4,740","2,150","Crashed
(post-mission)",19.96°N 30.50°E
Luna 21 and Lunokhod 2,Soviet Union,1973,"10,690","4,850",Landed,25.85°N 30.45°E
Explorer 49 (RAE-B),United States,1973,723,328,Crashed,Unknown
Luna 22,Soviet Union,1974,"8,800","4,000",Crashed,Unknown
Luna 23,Soviet Union,1974,"12,300","5,600",Landed,12.75°N 62.20°E
Luna 24 descent stage,Soviet Union,1976,"12,787","5,800",Landed,12.75°N 62.20°E
"Hagoromo
Hiten",Japan,1990,26,12,"Crashed
(not confirmed)",Unknown
Hiten,Japan,1993,315,143,Intentionally crashed,34.3°S 55.6°E
Lunar Prospector,United States,1998,278,126,Intentionally crashed,87.7°S 42.35°E
SMART-1,Various,2006,677,307,Intentionally crashed,34.262°S 46.193°W
"Moon Impact Probe (MIP)
Chandrayaan-1",India,2008,77,35,Intentionally crashed,89.76°S 39.40°W
SELENE Rstar (Okina),Japan,2009,117,53,Crashed,28.213°N 159.033°W
Chang'e 1,China,2009,"4,400","2,000",Intentionally crashed,1.50°S 52.36°E
SELENE (Kaguya) main orbiter,Japan,2009,"4,374","1,984",Intentionally crashed,65.5°S 80.5°E
LCROSS Shepherding Spacecraft,United States,2009,"1,500",700,Intentionally crashed,84.729°S 49.36°W
LCROSS Centaur,United States,2009,"5,000","2,270",Intentionally crashed,84.675°S 48.725°W
GRAIL,United States,2012,293,133,"Crashed
(post-mission)",75.62°N 26.63°W
"Chang'e 3
Yutu rover",China,2013,"2,600","1,200",Operational,44.12°N 19.51°W
LADEE,United States,2014,547,248,Intentionally crashed,10.8°N 91.6°W
"Chang'e 4
Yutu-2 rover",China,2019,"2,600","1,200",Operational,45.5°S 177.6°E
Beresheet,Israel,2019,330,150,Crashed,32.5956°N 19.3496°E
Longjiang-2,China,2019,104,47,Intentionally crashed,16.6956°N 159.5170°E
"Chandrayaan-2
Vikram lander
Pragyan rover",India,2019,"3,243","1,471",Crashed,70.8810°S 22.7840°E
